cvegeomun,nom_juri,cvegeojuri
"11034",SAN MIGUEL DE ALLENDE,"1102"
"11035",CELAYA,"1103"
"11036",ACÁMBARO,"1104"
"11037",LEÓN DELTA,"1108"
"11038",ACÁMBARO,"1104"
"11039",CELAYA,"1103"
"11040",SAN MIGUEL DE ALLENDE,"1102"
"11041",SALAMANCA,"1105"
"11042",SALAMANCA,"1105"
"11043",SAN MIGUEL DE ALLENDE,"1102"
"11044",CELAYA,"1103"
"11045",SAN MIGUEL DE ALLENDE,"1102"
"11046",SALAMANCA,"1105"
"12001",ACAPULCO,"1207"
"12002",CENTRO,"1203"
"12003",TIERRA CALIENTE,"1201"
"12004",MONTAÑA,"1204"
"12005",MONTAÑA,"1204"
"12006",NORTE,"1202"
"12007",TIERRA CALIENTE,"1201"
"12008",NORTE,"1202"
"12009",MONTAÑA,"1204"
"12010",MONTAÑA,"1204"
"12011",COSTA GRANDE,"1205"
"12012",COSTA CHICA,"1206"
"12013",COSTA CHICA,"1206"
"12014",COSTA GRANDE,"1205"
"12015",NORTE,"1202"
"12016",COSTA GRANDE,"1205"
"12017",NORTE,"1202"
"12018",COSTA CHICA,"1206"
"12019",NORTE,"1202"
"12020",MONTAÑA,"1204"
"12021",COSTA GRANDE,"1205"
"12022",TIERRA CALIENTE,"1201"
"12023",COSTA CHICA,"1206"
"12024",MONTAÑA,"1204"
"12025",COSTA CHICA,"1206"
"12026",NORTE,"1202"
"12027",TIERRA CALIENTE,"1201"
"12028",CENTRO,"1203"
"12029",CENTRO,"1203"
"12030",COSTA CHICA,"1206"
"12031",NORTE,"1202"
"12032",CENTRO,"1203"
"12033",MONTAÑA,"1204"
"12034",NORTE,"1202"
"12035",NORTE,"1202"
"12036",COSTA CHICA,"1206"
"12037",NORTE,"1202"
"12038",COSTA GRANDE,"1205"
"12039",CENTRO,"1203"
"12040",CENTRO,"1203"
"12041",MONTAÑA,"1204"
"12042",CENTRO,"1203"
"12043",MONTAÑA,"1204"
